expr_true,expr_pred,mse,mae,r2,pointwise_acc,symbolic_match
tan(log(-x_1*x_2 + x_1)),tan((x_1 - x_2 + x_3)/(x_1 - 0.301269960229669)),2064090.4,29.699228,-1.6000816822052002,0.0107,0.0
x_1 + x_2 + sin(x_1 + x_3) + 1,x_1 + x_2 - cos(x_1 + x_3 + 1.56628426427122) + 1.00434036810401,2.8315353e-05,0.0042885346,0.9999995755774762,0.9925,0.0
x_2 + x_3 - tan(x_2/x_1),x_2 + x_3 + tan(0.190088531279675*(x_2 + 0.102798881761977)/x_1) + 7.16061874509982,20580.531,12.501622,-0.0066727399826049805,0.0071,0.0
x_2*(x_1 + log(x_2) + 1) + x_3,x_2*(x_1 + log(0.378712677690056*x_2**2)) + x_3,3.7238445,1.742948,0.9970467786770314,0.3494,0.0
sin(x_3)/(x_1**5 + x_2),0.201515963534157*(cos(x_1 + 0.956336924939226) + 0.528816305874526)*sin(x_1*x_2 + x_3),0.81221116,0.15115474,-0.020766258239746094,0.021,0.0
x_1 + (x_2 + sin(x_1 + 1))/x_3,x_1 + (x_2 + sin((x_1 - 0.339700284956571)**2))/x_3,103.44919,0.77543426,0.9678960964083672,0.6141,0.0
asin(sin(x_1)/x_1),-0.000229103696138192*(x_2 + 15.4566428868368)/(x_2 - x_3) + sin(1.06284974581641*x_1)/x_1,0.30632332,0.077755116,-0.5383362770080566,0.0642,0.0
x_2 + 1 + (x_1 + cos(x_1))/x_3,x_2 + 1.00589173347849 + (x_1 + cos(x_1))/x_3,3.4712935e-05,0.0058917687,0.9999999897873275,0.9885,1.0
cos(x_1*(-x_1 + x_2**2*x_3)),-0.0316896250506345*cos(x_3) + cos(0.516341074693387*x_1 + x_2),1.0046337,0.8126509,-0.9907106161117554,0.0498,0.0
(tan(x_2/x_1) - 1)/x_2,0.100513600203031*tan((-0.0295671634169768*x_1 + x_2)/x_1) - 1/x_2,14470.369,2.8057265,0.026068150997161865,0.0772,0.0
x_2*cos(x_1*x_2*x_3 + x_1),x_2*cos(1.33739327860113*x_1*x_2) + 0.270423451982607*cos(x_3),32.290268,3.9857874,-0.9633215665817261,0.0443,0.0
x_2**2 + sin(x_1*x_2),(((x_2)**(2))+(sin((x_1)*(sin((x_2)*(x_3)))))),0.96063083,0.79480994,0.9989327607909217,0.6353,0.0
x_1*(-x_2 + sqrt(x_1 - x_3)),-x_1*(-0.162396805427374*x_1 + x_2 + x_3/(x_1 - 0.0317078397057101)) + x_1,47.88658,4.9177585,0.9627977535128593,0.192,0.0
x_3**2/(x_1*exp(x_2) + x_3),(0.335224185718471*x_1 + x_2*x_3)/(x_2 + 1.1519797465988*exp(x_2)),2832.3203,3.76772,-0.9710034132003784,0.2208,0.0
(-x_1 + (-x_1 + x_2)*log(x_2))/x_1,-0.00586661159232753*x_1/(x_2 - x_3) - 2.35195718537162*(x_1 - x_2 + 1.35982151927969)/x_1,3642.3147,1.9239144,0.9200494736433029,0.1326,0.0
x_3 + sin(x_1) - 1/(x_2*x_3),((x_3)+(((-1)*(((x_2)**(-1))*((x_3)**(-1))))+(sin(x_1)))),0.0,0.0,1.0,1.0,1.0
x_1 - x_2 + tan(x_1**2 - x_3),x_1 - x_2 - tan(0.417303548702585*x_1 + x_3),1297392.4,24.412783,-0.0049800872802734375,0.1277,0.0
x_1 - sin(x_3/(x_1 + x_2 + 1)),x_1 - sin(x_3/(x_1 + x_2 + 0.977900748608272)),0.043179687,0.048150435,0.9987413361668587,0.9369,1.0
cos(x_1 + x_2 + (x_2 + x_3)**2),0.00598283240791725*x_1 - 0.0088814659818165*x_3 + cos(0.657828685031045*x_2*(1 - 0.550224176760437*x_1)**2),1.0147587,0.8145091,-1.0278944969177246,0.0436,0.0
(-x_2 + x_3*(-x_1 + x_3))**(-3),-0.331371462507828*tan(0.349331920116*x_3 - cos(x_1*x_2*x_3)),34248243000.0,3303.421,-9.036064147949219e-05,0.0032,0.0
-x_1 + cos(1 + 1/x_1),-x_1 + sin((x_1 - sin(x_2*x_3) - 1.30118946302883)/x_1),0.17366712,0.32293263,0.995046132709831,0.6165,0.0
-x_3 + tan(x_3/(x_1*x_2)),-x_3 + tan((-1.65314691408306*x_1 + x_3)/(x_1*x_2)),2933.474,4.122138,-0.5918986797332764,0.2376,0.0
-x_1**2 + x_1/x_2 + x_2 + x_3,-x_1**2 + 1.00003685491924*x_1/x_2 + x_2 + x_3,4.027345e-05,0.00026077524,0.9999999986938753,1.0,1.0
cos((x_1 - x_2 - 1/x_2)**5),-0.0491782279127132*cos(x_1/x_2 - sin(x_3) + 2.93482924839152),0.53505886,0.6621632,-0.011979818344116211,0.002,
x_2 + x_3 - x_3/(x_1 - 1),x_2 + x_3 + 0.386682939374734*x_3/(x_1 - 0.885744102208149),1662.31,5.239871,-0.7779427766799927,0.1001,0.0
x_1 - x_3*(x_2 - 1) + tan(x_3),x_1 - x_3*(x_2 - 1.00049385691934) + tan(x_3),8.146085e-06,0.0024747977,0.9999999998814919,0.9998,1.0
x_2 - cos(sin(x_1) - 1)**2,x_2 - 0.00122147020870329*x_3 - 0.531518725780593*sin(x_1) - 0.433488602940962,0.018255947,0.11506624,0.9994631945155561,0.7777,0.0
x_1 + x_2 + (x_1 + x_2*x_3)/x_3,x_1 + 1.0000460525715*x_1/x_3 + 2*x_2,4.0917193e-06,0.00021326375,0.9999999980444707,1.0,1.0
x_2/(-exp(x_1) + tan(x_1)) - 1,0.433981376340658*x_1 - 1.62219342370728 - x_2/(x_1*(x_1 - exp(x_3) - 5.66445432006046)),35048.8,14.835641,-0.021630406379699707,0.0138,0.0
x_2*(x_2 - (-x_1 - 1)/x_2),x_1 + x_2**2 + 0.0122676381427487*cos(x_3) + 0.998158900356689,8.5380525e-05,0.008262633,0.9999999079625326,0.9965,0.0
cos(sin(exp(x_1) + 1)),0.695328509490233*exp(-0.0151283848188367*asin(sin(1.60798396381131*x_1*x_2*x_3))),0.01774665,0.102172114,-0.011156201362609863,0.2735,0.0
log(x_2 + cos(x_2))/(x_1 + x_3),0.00207048351480955*(126.311651888454*x_2 + tan(x_1*x_2) + 87.7425265269487)/(x_1 + x_3),5.4315696,0.20329781,0.9816055241972208,0.2082,0.0
-1 - sin(x_1)**2/x_2,-cos(7.55887584403696e-6*cos(x_1)) + 0.00737737117994159 - sin(0.0868574048394644*x_3)/x_2,24.781858,0.5138096,-0.07012951374053955,0.2309,0.0
sin(tan(x_2))*cos(x_1),(sin(x_2 + x_3) - 0.0158576194213605)*sin(x_1 + 0.356133715904688),0.46924132,0.57989895,-1.106947422027588,0.0127,0.0
cos(x_1*(x_2 + 1) + sin(x_1)),0.136134500232898*cos(x_1*(x_2 + x_3 + 0.0663160996199599)),0.5126754,0.6425745,-0.012550950050354004,0.0026,0.0
sin((x_1 - x_3)/(x_2*x_3)),0.569906025175016*sin((x_1/(x_2 - 0.982010326292022) - sin(1.37389890335628*x_2) + 0.395725222868947)/x_3),0.20989256,0.3365123,0.09597891569137573,0.0163,0.0
cos(cos(x_2)**2/(-x_1 + x_3)**2),-1.96544329451906*cos(0.000237691766098876*tan(x_1*(x_2 + x_3)) - 2.04698461475985),0.102430776,0.15728082,-0.015379548072814941,0.0292,0.0
x_3 + (-x_2 + x_3)*cos(x_1 + x_3),((x_3)+(((x_2)+((-1)*(x_3)))*(cos((x_1)+((-1)*(x_2)))))),70.66973,5.540546,-0.03943812847137451,0.1068,0.0
x_2 + x_3 + cos(x_1 + 1) + 1,x_2 + x_3 + cos(x_1 - 5.27796075853718) + 1.00214089849909,1.9264231e-05,0.003730915,0.9999997099456266,0.9949,0.0
asin(x_1**3/(x_3*(x_2 + x_3))),0.0104722186336012*(x_1 - sin(0.0148995016462371*x_2))*(cos(x_1 + x_3) + 11.8981156032437),0.105515234,0.20054442,0.45272767543792725,0.0338,0.0
cos((x_1 - 1)**3)**2,0.0879203985834287*sin(1.40819091730018*x_1) + cos(cos(x_2 - x_3)) - 0.259701741582215,0.15566318,0.3393205,-0.2016434669494629,0.0355,0.0
x_1*(x_1 + x_3 + 1) + sqrt(x_2),x_1**2 + x_1*x_3 + x_1 + 0.245959716970564*x_2 + 0.900362037285906,0.024723541,0.111332566,0.9999878445914874,0.9185,0.0
-x_1 + x_2 - sin(x_2*x_3),-x_1 + x_2 - sin(1.00034603200594*x_2*x_3),6.494312e-05,0.0054235314,0.9999990255016655,0.9925,1.0
sin(x_2*x_3*(x_1*x_2 + x_3)),-0.137322108622781*sin(0.920262704171451*x_3) + sin(x_2*(x_1 + 1.22368771971721)),0.99720937,0.809817,-1.0220050811767578,0.0368,0.0
sin((-x_2 + x_3)**2/(x_1 + x_2)),0.0205506166007234*x_1 + 0.00964943928994228*x_3 + cos(x_3*(-1.73410468964116*x_1 + x_2)),0.9175825,0.77781856,-1.0734694004058838,0.0349,0.0
(x_1*x_2 + sqrt(x_2))/x_1,x_2 + 0.0717054305328271 + 0.404522463718698*x_2/x_1 + 0.53145654384331*sin(x_3)/x_1,7.963347,0.40726957,0.9434020258486271,0.6817,0.0
x_1 - x_3 + (x_2 + x_3)*sin(x_3),x_1 - x_3 + (x_2 + 0.998184363501193*x_3 + 0.00232769534333216)*sin(x_3),5.0150604e-05,0.0054994486,0.999999491874064,0.9938,0.0
x_1 + log(x_2 + tan(x_2)) + 1,x_1 + 0.390709123865874*x_2 + 0.325396709385485 + sin(x_3)/(x_2*cos(x_2)),1053.3619,2.0870886,-30.07439613342285,0.246,0.0
x_1 - x_2*x_3 + x_2 + cos(x_3),x_1 - x_2*(x_3 - 0.999957617087416) + cos(x_3),5.9360364e-08,0.00021111555,0.9999999999494614,1.0,1.0
x_1/(x_1 + x_2**2 + tan(x_3)),x_1/(x_1 + x_2**2) - 0.0308143106448713*tan(1.22533108093597*x_3),3063.684,2.2382414,-1.3094043731689453,0.1091,0.0
x_2 + x_3 - tan(x_1 - x_2)/x_3,x_2 + x_3 + 14.0844872060737 + tan(x_1 + x_2)/x_3,148543.36,24.99853,-0.04123270511627197,0.0012,0.0
